kernel,server_type,model,input_tokens,output_tokens,total_tokens
105_LayerNorm_BigMean.py,anthropic,claude-sonnet-5,11785,8590,20375
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,1838,4476,6314
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8619,9134,17753
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8755,3304,12059
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8854,702,9556
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8856,2237,11093
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8846,4910,13756
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8844,6415,15259
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8833,8062,16895
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9924,2989,12913
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,6921,7635,14556
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9682,3465,13147
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,6956,921,7877
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9922,7710,17632
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8107,2671,10778
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9047,4117,13164
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,8968,6488,15456
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9954,3194,13148
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,6538,2180,8718
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9085,7482,16567
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,9952,4940,14892
107_Conv2D_SquareKernel3_bf16.py,anthropic,claude-sonnet-5,7223,2127,9350
